@relation parkinsons-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R23_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A22-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R19_clustered

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute status numeric
@attribute Cluster {cluster0,cluster1}

@data
0,0.108729,-0.052116,0.040436,-0.125356,-0.020618,-0.001489,0.104007,-0.048831,0.08864,0.08377,-0.090267,0.012825,0.012601,-0.047027,-0.077284,-0.107038,-0.179394,0.044933,-0.025016,-0.087641,-0.021587,1,cluster1
1,0.255436,-0.151215,0.11785,-0.093291,-0.090971,-0.090491,-0.02053,0.046953,0.054592,0.031069,-0.004034,0.053356,0.040263,0.066122,-0.065863,-0.033038,-0.109709,0.05075,-0.056048,-0.131896,-0.007911,1,cluster1
2,0.159287,-0.087251,0.013299,-0.096533,-0.021503,0.068434,0.068707,-0.071034,0.154495,0.022735,-0.015973,-0.03991,-0.058894,0.045467,0.095551,-0.206159,-0.0925,0.051535,-0.091552,-0.025216,-0.118544,1,cluster1
3,0.163821,-0.14156,0.060427,-0.03982,-0.019291,-0.061572,0.017663,-0.087911,0.139059,0.048819,-0.039601,0.016505,0.036035,0.041226,0.051237,-0.118883,-0.120977,0.018714,-0.01217,-0.133432,0.011853,1,cluster1
4,0.204388,-0.125724,0.104252,-0.091596,0.007014,-0.04192,0.063128,-0.013152,0.217596,0.044556,0.095315,-0.04679,-0.046128,0.136806,0.141342,-0.194479,-0.082726,0.075994,-0.055059,-0.013671,0.030889,1,cluster1
5,0.191228,-0.060473,0.016848,-0.128331,-0.030512,-0.063879,0.017541,-0.02206,0.062644,0.016704,-0.020218,0.090621,-0.00698,0.115284,-0.055614,-0.168133,-0.192857,0.077534,-0.04663,-0.039424,-0.125453,1,cluster1
6,0.089006,-0.015103,-0.046951,-0.003229,-0.017182,-0.004449,0.023987,-0.069898,-0.136617,-0.024068,0.064734,-0.005352,-0.075189,-0.056763,-0.029003,0.018605,0.021004,-0.022747,-0.01767,0.024636,-0.028373,1,cluster1
7,0.086932,-0.096943,-0.02794,-0.018091,0.090674,0.044187,0.066707,-0.048484,-0.064984,-0.074808,0.094009,0.033395,0.061785,-0.035852,-0.078682,0.090952,-0.048425,-0.069247,0.091704,0.105485,-0.03596,1,cluster1
8,0.013823,-0.112044,-0.050182,0.049364,-0.033659,0.037041,0.036262,-0.090626,0.014248,0.019078,-0.057286,-0.057111,-0.07268,-0.109698,0.068219,0.023454,0.024097,-0.019521,-0.054582,0.062581,-0.105791,1,cluster1
9,-0.015136,-0.044126,-0.04264,0.039762,-0.001939,-0.093855,-0.043677,-0.020306,0.014378,0.014469,-0.062669,-0.003516,-0.077509,-0.05622,-0.05477,0.030021,-0.081694,0.049917,0.042656,0.022116,-0.095453,1,cluster1
10,-0.00504,-0.085536,-0.059971,0.055005,-0.077574,0.014671,-0.018055,-0.067337,0.036836,-0.00631,-0.082158,-0.015393,-0.152303,-0.120673,0.044132,0.030683,0.004488,0.02383,-0.052222,0.069408,-0.15165,1,cluster1
11,0.009988,-0.088748,-0.086558,0.056155,-0.067142,0.007499,0.016891,0.003596,-0.012871,-0.00423,-0.050351,-0.068786,-0.120598,-0.081882,0.021555,0.002737,-0.023096,-0.017513,-0.037951,0.048785,-0.120696,1,cluster1
12,-0.004804,-0.051374,-0.035643,-0.050112,-0.01986,0.042728,-0.047349,-0.003081,0.006501,-0.022677,0.006932,0.073296,0.004442,0.076406,0.05378,-0.04665,0.119349,-0.02957,0.055521,0.067482,0.056886,1,cluster1
