-0.166X129-0.165X130-0.164X128-0.16X127-0.155X131...,0.159X37+0.159X36+0.153X67+0.152X68-0.15X53...,-0.142X43+0.142X59-0.141X42+0.141X60+0.139X58...,'-0.162X91-0.162X92+0.16 X76+0.159X77-0.157X121...',-0.233X16-0.232X17-0.231X15-0.229X14-0.227X18...,-0.162X140-0.162X139-0.161X138-0.16X141-0.159X48...,-0.151X152-0.148X151-0.147X153-0.14X150-0.139X24...,0.156X168+0.156X167+0.153X169+0.153X166+0.149X165...,-0.18X5-0.172X4-0.172X6-0.153X7-0.152X3...,-0.15X153-0.145X154-0.144X152-0.137X95-0.135X96...,-0.158X99-0.156X98-0.155X100-0.151X101-0.147X102...,-0.132X134-0.13X135+0.128X117-0.126X133-0.126X28...,-0.173X167-0.168X168+0.165X70+0.164X69-0.164X166...,0.194X175+0.193X174+0.182X3+0.181X4+0.179X176...,0.188X174+0.184X175+0.172X173+0.167X161+0.167X160...,'0.141X137+0.14 X103+0.137X138+0.133X102-0.131X41...',0.202X163+0.195X164+0.174X162-0.166X102+0.164X165...,-0.182X43-0.175X44+0.174X51+0.169X50-0.156X42...,0.192X24+0.187X25+0.162X23-0.161X131-0.158X130...,0.244X32+0.237X33+0.213X31+0.209X47+0.198X46...,0.174X28-0.172X107-0.171X108+0.163X27+0.163X42...,'-0.185X89+0.18 X96-0.178X90+0.176X97-0.162X153...',0.239X60-0.216X66+0.214X61+0.213X59-0.204X67...,-0.201X2-0.192X1-0.19X3-0.181X158-0.169X157...,-0.165X80-0.16X79+0.152X74+0.149X10+0.147X73...,'0.193X147+0.19 X146-0.176X139-0.166X138-0.162X140...',0.196X63+0.186X62+0.168X78-0.165X70+0.164X64...,0.193X151+0.188X152+0.158X129+0.157X150-0.154X102...,-0.223X125-0.208X124+0.204X119+0.204X118-0.191X126...,-0.153X83-0.152X22-0.146X82-0.14X23-0.14X167...,-0.2X88-0.197X87+0.192X135+0.183X82+0.181X134...,0.194X121-0.186X92-0.186X91-0.183X115-0.183X114...,-0.195X27-0.174X28-0.174X26-0.172X48-0.171X177...,0.252X1+0.228X2-0.198X7-0.186X8+0.157X3...,-0.216X58-0.196X57+0.194X52+0.187X64+0.182X63...,-0.203X178-0.184X96-0.18X97-0.162X177+0.159X172...,0.223X1+0.207X178-0.187X6+0.167X11-0.159X5...,0.167X178-0.153X144-0.146X145+0.145X139+0.134X140...,-0.168X151+0.164X146-0.151X132-0.149X141+0.147X24...,y
0.342815,0.778418,0.401332,0.431164,0.070117,-1.787875,-0.041993,0.262167,-2.016652,2.339521,1.215747,-0.988416,0.341723,2.058853,-1.1399,-0.962952,0.214489,-1.48798,0.572021,0.628559,-1.223821,0.344577,-1.609756,0.513911,-3.868199,-0.232226,-1.65422,0.754453,0.18636,-0.036385,2.552123,1.064391,0.201103,-0.075017,0.638135,-0.486346,-0.498346,0.249816,0.310133,4
3.782924,1.364364,-4.317297,11.042856,1.845275,5.800589,12.921496,4.262194,-6.24421,-21.880614,-0.887611,-11.809278,-1.834088,0.533616,-1.901745,-0.951981,-4.507408,-0.934795,4.346369,-1.545581,2.097233,1.412031,0.640919,8.194558,4.32141,5.635367,-5.215313,-4.355013,-0.047376,9.682863,4.812529,2.547188,-4.081982,3.259843,-0.515052,3.558001,-2.502095,-0.711456,-1.063437,1
-0.421747,0.167454,0.864134,0.77815,2.046413,1.068295,0.716637,-1.941608,0.272951,-0.174289,1.306512,0.345529,-0.974464,-0.074999,1.062259,0.329242,-0.529022,-0.180812,0.519335,-1.05161,-0.115836,-0.373335,-0.610944,-0.544298,0.340419,0.073304,-0.198262,0.365935,0.033914,0.25023,0.057036,0.661546,0.933042,-0.534623,-0.6159,-0.395621,0.009592,-0.270916,0.194108,5
0.025141,-0.273578,0.023832,0.291781,2.389111,0.733208,1.675162,-3.377768,0.517799,1.36244,0.93133,0.383304,-0.829612,-0.171429,-0.321531,0.452977,0.185125,-0.086774,-0.049325,0.335564,0.471874,0.283182,-0.071963,0.157379,-0.300787,0.081823,0.487071,-0.106786,0.10344,0.378745,-0.214182,-0.007366,-0.104899,-0.005137,0.182814,-0.094417,0.151223,0.178216,-0.01604,5
0.047103,-0.251035,0.651074,-0.188736,0.38392,-0.148357,-0.218053,0.024472,-0.207861,-0.087485,-0.672882,-0.06088,0.217362,-0.951945,-0.252318,1.067227,0.589114,-0.196666,0.350381,-1.134323,0.149292,0.454426,0.188453,0.396267,0.106473,-0.242881,-0.031964,0.701649,-0.290895,0.067776,0.10394,0.02611,-0.169513,0.195688,0.198782,0.201958,-1.053106,0.701271,-0.125614,5
-0.161544,0.034095,-0.757362,0.111305,-1.17888,-0.352072,-0.178776,1.469593,0.340082,-0.546865,0.42004,0.367224,0.846398,-1.100216,-1.031523,-1.756748,-0.957177,-0.476308,1.330763,1.128115,0.275635,-0.948087,-0.20957,0.118958,-0.016241,0.235514,-0.612753,-0.230939,0.105305,0.341848,0.446548,0.40473,0.554561,0.563787,0.228125,-0.109923,-0.043023,-0.565677,-0.140581,5
-0.474152,-0.126679,0.03689,-0.288131,0.189677,-0.215523,-0.541561,1.28422,-0.310826,-1.115833,0.357325,-0.945746,1.894426,-0.321481,0.41334,-0.964322,1.593289,-2.191602,0.789012,-1.559922,-0.359992,-0.716621,0.126105,-0.455988,-0.462639,-1.278222,0.114697,-1.767929,-1.038122,-0.165549,-0.408912,-0.468008,-0.737317,-0.961864,0.39202,-0.287833,-0.086854,0.199601,0.120188,4
0.024833,-0.169011,-0.099614,-0.775828,0.759086,-0.692923,1.33098,-1.25662,-1.070619,1.788002,-1.015562,-0.223448,-0.111865,-0.085359,-0.273523,-0.914283,0.08982,-0.116563,0.738815,0.498815,0.446971,-0.141555,0.045557,-0.170588,-0.296155,0.063142,0.005132,-0.018472,-0.088768,-0.118564,-0.012556,0.293171,-0.121575,-0.017484,0.074637,0.211195,-0.088755,0.024494,-0.051304,2
-1.872808,2.796296,-2.776077,4.20553,1.259911,1.063163,-2.464719,-3.30385,-0.841491,-0.925812,0.357849,1.939405,-1.088148,-4.92724,0.062873,1.953893,4.402342,-0.021113,-3.550161,-0.17562,0.224321,-0.412532,-0.776545,0.089374,-1.228185,-2.456132,2.204492,-1.333385,0.188766,1.200281,-0.805366,-0.815575,-1.304105,1.714027,1.268,-1.363885,-0.893881,-0.616474,0.11599,1
0.151828,0.174783,-0.021589,-0.251663,-0.675757,-0.335863,-0.302493,0.917167,0.355723,0.151791,0.769042,0.455563,-0.156851,-0.478465,-0.060574,0.358067,0.077325,-0.235554,0.965023,-0.777151,-0.737485,-0.184184,0.352146,-0.280286,-0.135831,0.143383,0.015508,-0.0391,-0.180298,-0.257669,0.176825,0.131507,0.264147,0.111526,-0.452396,0.380375,0.508711,0.075139,-0.181431,4
