@relation epilepsy-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N36-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute K33 numeric
@attribute K34 numeric
@attribute K35 numeric
@attribute K36 numeric
@attribute y numeric

@data
5.039234,-4.034958,-3.280887,4.424938,9.514247,7.783791,9.514129,-0.210377,6.345474,11.262969,2.069214,-1.101946,4.481789,1.051097,-5.279642,2.049089,20.96342,-0.800925,-0.538242,-5.485982,0.703725,4.276304,-0.533569,-8.69627,-1.50607,-6.03959,1.321143,-3.271619,-6.035603,-7.123199,9.073249,-10.565415,-4.05453,-10.486208,-4.811296,4.402113,4
2.428751,-0.519338,0.095069,4.673319,12.85919,9.848579,7.535304,-1.93564,8.749877,12.573974,0.32481,-2.906142,4.689294,-0.725703,-3.793371,3.609866,23.233064,-0.13926,-0.440564,-2.727668,-0.310707,3.077347,3.015838,-7.23372,-1.862353,-7.890624,-0.421469,-1.691985,-4.034317,-6.805527,7.374832,-12.02936,-2.696316,-10.4897,-5.046292,2.863643,1
4.150863,-3.668064,-2.959065,3.688821,10.08127,7.981423,10.287547,-0.384907,6.180262,11.603336,1.99287,-0.961718,4.576989,2.03547,-5.853105,2.640821,21.089012,-1.679722,0.448863,-4.784444,1.254928,4.332784,-0.598413,-8.246334,-1.82686,-6.318696,0.558101,-3.312492,-6.022668,-6.578977,9.251432,-10.586357,-3.754551,-10.695104,-4.720628,3.994388,5
4.24451,-3.852611,-2.927195,3.553378,9.771339,7.836352,10.276077,-0.232046,6.205616,11.318273,1.907412,-0.887461,4.80196,2.248354,-5.569415,2.570079,20.864726,-1.712711,0.440729,-4.790312,1.321688,4.584879,-0.690669,-7.999691,-1.909501,-5.946974,0.504446,-3.274802,-5.738497,-6.672066,9.30361,-10.430599,-3.859337,-10.274955,-4.747411,3.838701,5
4.023781,-4.137064,-3.209466,3.734222,10.152889,8.057807,10.576919,-0.404501,6.29271,11.768852,2.007766,-0.991128,4.726332,2.230386,-6.194815,2.675256,22.124377,-1.625767,0.264117,-4.798695,1.490464,4.745087,-0.457066,-8.297133,-2.057242,-6.050502,0.763786,-3.444228,-6.062822,-6.98961,9.399159,-10.85139,-4.141844,-10.896943,-5.309203,3.950839,5
4.817945,-4.029828,-2.92026,3.721484,10.345981,7.987247,10.689778,-0.021289,6.320466,12.205627,1.499364,-1.226564,5.161002,1.880669,-5.491536,2.969182,21.779025,-1.347728,-0.047119,-4.993738,1.319889,4.773816,-0.778839,-8.679594,-1.682751,-6.677343,0.831961,-3.537118,-5.872496,-7.28339,9.465516,-10.535059,-3.928111,-10.768151,-5.033059,3.779894,5
4.372382,-4.124068,-3.266999,4.290472,10.196613,7.588774,10.383889,-0.352098,6.512198,11.630027,1.760143,-1.184915,4.951989,1.780898,-5.778525,2.969998,22.014536,-1.390889,0.302719,-4.924182,1.52271,4.449876,-0.393338,-9.017003,-1.849622,-6.330854,1.28868,-3.223864,-6.191952,-7.069246,9.656938,-10.957158,-4.383017,-10.575121,-5.475886,3.675614,4
4.71771,-4.165501,-3.010057,3.690474,9.77248,7.688485,10.282301,-0.508809,6.364989,11.54314,1.622637,-0.938616,4.920568,1.912156,-5.706319,2.719803,21.529345,-1.269692,-0.060603,-4.834201,1.620162,4.849446,-0.734868,-8.478264,-1.71599,-6.012657,0.763131,-3.351045,-6.09248,-7.086461,9.186959,-10.43933,-4.125795,-10.389558,-5.078383,3.751688,2
2.959055,-4.990598,-2.698184,3.553617,11.551492,7.961207,10.93054,-0.025181,7.134639,10.941784,2.196012,-0.121451,5.042578,2.737169,-5.02729,1.926929,21.71448,-2.647798,1.282714,-5.297711,0.857911,4.842378,-0.213099,-7.451539,-2.135238,-6.736278,1.501905,-5.598714,-4.506391,-6.836857,10.42357,-11.837793,-3.386452,-10.021662,-4.669202,3.690051,1
4.501224,-4.100145,-3.282829,3.649833,10.027457,8.072386,10.623454,-0.266807,6.239748,12.056244,2.007208,-1.283207,4.886845,2.225264,-6.002554,2.734988,21.803854,-1.424007,0.103715,-4.972675,1.118193,4.729398,-0.5694,-8.573134,-1.829822,-6.360605,0.480564,-3.187077,-6.171735,-6.970928,9.572863,-10.602881,-4.38805,-10.953792,-4.850283,3.990811,4
