@relation dota2

@attribute temp1 numeric
@attribute temp2 numeric
@attribute temp3 numeric
@attribute temp4 numeric
@attribute temp5 numeric
@attribute temp6 numeric
@attribute temp7 numeric
@attribute temp8 numeric
@attribute temp9 numeric
@attribute temp10 numeric
@attribute temp11 numeric
@attribute temp12 numeric
@attribute temp13 numeric
@attribute temp14 numeric
@attribute temp15 numeric
@attribute temp16 numeric
@attribute temp17 numeric
@attribute temp18 numeric
@attribute temp19 numeric
@attribute temp20 numeric
@attribute temp21 numeric
@attribute temp22 numeric
@attribute temp23 numeric
@attribute temp24 numeric
@attribute temp25 numeric
@attribute temp26 numeric
@attribute temp27 numeric
@attribute temp28 numeric
@attribute temp29 numeric
@attribute temp30 numeric
@attribute temp31 numeric
@attribute temp32 numeric
@attribute temp33 numeric
@attribute temp34 numeric
@attribute temp35 numeric
@attribute temp36 numeric
@attribute temp37 numeric
@attribute temp38 numeric
@attribute temp39 numeric
@attribute temp40 numeric
@attribute temp41 numeric
@attribute temp42 numeric
@attribute temp43 numeric
@attribute temp44 numeric
@attribute temp45 numeric
@attribute temp46 numeric
@attribute temp47 numeric
@attribute temp48 numeric
@attribute temp49 numeric
@attribute temp50 numeric
@attribute temp51 numeric
@attribute temp52 numeric
@attribute temp53 numeric
@attribute temp54 numeric
@attribute temp55 numeric
@attribute temp56 numeric
@attribute temp57 numeric
@attribute temp58 numeric
@attribute temp59 numeric
@attribute temp60 numeric
@attribute temp61 numeric
@attribute temp62 numeric
@attribute temp63 numeric
@attribute temp64 numeric
@attribute temp65 numeric
@attribute temp66 numeric
@attribute temp67 numeric
@attribute temp68 numeric
@attribute temp69 numeric
@attribute temp70 numeric
@attribute temp71 numeric
@attribute temp72 numeric
@attribute temp73 numeric
@attribute temp74 numeric
@attribute temp75 numeric
@attribute temp76 numeric
@attribute temp77 numeric
@attribute temp78 numeric
@attribute temp79 numeric
@attribute temp80 numeric
@attribute temp81 numeric
@attribute temp82 numeric
@attribute temp83 numeric
@attribute temp84 numeric
@attribute temp85 numeric
@attribute temp86 numeric
@attribute temp87 numeric
@attribute temp88 numeric
@attribute temp89 numeric
@attribute temp90 numeric
@attribute temp91 numeric
@attribute temp92 numeric
@attribute temp93 numeric
@attribute temp94 numeric
@attribute temp95 numeric
@attribute temp96 numeric
@attribute temp97 numeric
@attribute temp98 numeric
@attribute temp99 numeric
@attribute temp100 numeric
@attribute temp101 numeric
@attribute temp102 numeric
@attribute temp103 numeric
@attribute temp104 numeric
@attribute temp105 numeric
@attribute temp106 numeric
@attribute temp107 numeric
@attribute temp108 numeric
@attribute temp109 numeric
@attribute temp110 numeric
@attribute temp111 numeric
@attribute temp112 numeric
@attribute temp113 numeric
@attribute temp114 numeric
@attribute temp115 numeric
@attribute temp116 numeric
@attribute temp117 numeric

@data
-1,223,8,2,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,227,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
-1,136,2,2,1,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,227,2,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,184,2,3,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,231,2,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
1,152,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,153,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,223,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
-1,153,2,2,0,0,0,0,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
